channel,acceptance
0,0.9574
1,0.0000
2,0.0023
3,0.9404
4,0.9526
5,0.9314
6,0.9718
7,0.9423
8,0.9385
9,0.9498
10,0.9357
11,0.9520
12,0.0000
13,0.9157
14,0.9342
15,0.9534
16,0.8882
17,0.9239
18,0.9485
19,0.9502
20,0.9460
21,0.9547
22,0.9670
23,0.9345
24,0.9210
25,0.8948
26,0.0000
27,0.0000
28,0.9469
29,0.8940
30,0.9558
31,0.8931
32,0.9369
33,0.9438
34,0.0000
35,0.9581
36,0.9194
37,0.8987
38,0.9543
39,0.8773
40,0.8933
41,0.9418
42,0.9359
43,0.9369
44,0.9416
45,0.6434
46,0.8739
47,0.9563
48,0.9264
49,0.9393
50,0.9219
51,0.9561
52,0.9353
53,0.9211
54,0.9447
55,0.9135
56,0.9473
57,0.9426
58,0.5738
59,0.9192
60,0.9469
61,0.8703
62,0.0000
63,0.9041
64,0.9802
65,0.0000
66,0.8967
67,0.8964
68,0.9872
69,0.9209
70,0.9387
71,0.8709
72,0.9110
73,0.0118
74,0.9527
75,0.9693
76,0.9374
77,0.9318
78,0.9236
79,0.0000
80,0.9471
81,0.9568
82,0.9362
83,0.9295
84,0.9316
85,0.9729
86,0.0000
87,0.9028
88,0.0000
89,0.9151
90,0.9064
91,0.0000
92,0.8996
93,0.9156
94,0.9582
95,0.9311
96,0.6327
97,0.9426
98,0.9091
99,0.9205
100,0.9322
101,0.9010
102,0.0000
103,0.9373
104,0.9581
105,0.9672
106,0.9640
107,0.9077
108,0.9546
109,0.8782
110,0.8516
111,0.9293
112,0.9167
113,0.9211
114,0.9161
115,0.9309
116,0.9561
117,0.9352
118,0.0000
119,0.9030
120,0.9470
121,0.9726
122,0.9422
123,0.9399
124,0.9338
125,0.9193
126,0.9078
127,0.9494
128,0.8996
129,0.9411
130,0.0000
131,0.9373
132,0.9429
133,0.9141
134,0.0000
135,0.0000
136,0.9326
137,-0.0049
138,0.9283
139,0.0000
140,0.9641
141,0.9527
142,0.8889
143,0.9149
144,0.9571
145,0.9306
146,0.9382
147,0.9524
148,0.0000
149,0.8849
150,0.0000
151,0.9456
152,0.0000
153,0.9350
154,0.9413
155,0.9427
156,0.9529
157,0.9363
158,0.9234
159,0.9295
160,0.9331
161,0.9313
162,0.0000
163,0.9144
164,0.9293
165,0.9418
166,0.9457
167,0.0000
168,0.9247
169,0.9638
170,0.9412
171,0.9156
172,0.9241
173,0.9353
174,0.9256
175,0.9779
176,0.9460
177,0.9615
178,0.0000
179,0.8080
180,0.8988
181,0.9789
182,0.9324
183,0.0000
184,0.9027
185,0.8746
186,0.9220
187,0.9573
188,0.8381
189,0.8916
190,-0.0014
191,0.9435
192,0.9537
193,0.9235
194,0.9074
195,0.8754
196,0.9401
197,0.9165
198,0.0000
199,0.9367
200,0.8747
201,0.9503
202,0.9076
203,0.0000
204,0.9374
205,0.7948
206,0.0000
207,0.8175
208,0.9243
209,0.9282
210,0.9360
211,0.9625
212,0.9562
213,0.0000
214,0.0000
215,0.9088
216,0.9259
217,0.9375
218,0.9158
219,0.9413
220,0.9363
221,0.9522
222,0.9779
223,0.9595
224,0.9390
225,0.8948
226,0.9010
227,0.9029
228,0.9385
229,0.9495
230,0.9242
231,0.9517
232,0.9361
233,0.9332
234,0.0000
235,0.9610
236,0.8764
237,0.9277
238,0.9507
239,0.0000
240,0.9352
241,0.8876
242,0.9335
243,0.8624
244,0.0000
245,0.8472
246,0.8708
247,0.9553
